web-scraper-order,web-scraper-start-url,Marque,Prix,Adresse,Proprietaire
1707863130-1,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Mercedes,15 000 F CFA,"Hann Bel-Air,",Par Kena Impact Groupes
1707863130-2,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Hyundai,25 000 F CFA,"Médina,",Par Kena Impact Groupes
1707863130-3,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Ford,30 000 F CFA,"Point-E,",Par Ousmane diagne
1707863130-4,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Ford,25 000 F CFA,"Ouest Foire,",Par Logivit Express
1707863130-5,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Nissan,25 000 F CFA,"Yoff,",Par A vos services
1707863130-6,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Mazda,30 000 F CFA,"Yoff,",Par A vos services
1707863130-7,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Citroen,25 000 F CFA,"Yoff,",Par A vos services
1707863130-8,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Dodge,20 000 F CFA,"Yoff,",Par A vos services
1707863130-9,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Chevrolet,30 000 F CFA,"Yoff,",Par A vos services
1707863130-10,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Mazda,30 000 F CFA,"Yoff,",Par A vos services
1707863130-11,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Hyundai,20 000 F CFA,"Yoff,",Par A vos services
1707863130-12,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Dodge,30 000 F CFA,"Yoff,",Par A vos services
1707863130-13,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Hyundai,35 000 F CFA,"Yoff,",Par Abdia Sn
1707863130-14,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Ford,40 000 F CFA,"Sicap Liberté,",Par KINGCARS Service
1707863130-15,https://dakar-auto.com/senegal/location-de-voitures-19?&page=8,Ford,30 000 F CFA,"Sicap Liberté,",Par KINGCARS Service
1707863133-16,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Hyundai,40 000 F CFA,"Yoff,",Par Abdia ...
1707863133-17,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Volkswagen,20 000 F CFA,"Grand-Dakar,",Par A vos services
1707863133-18,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Ford,35 000 F CFA,"Mermoz Sacré-Coeur,",Par A-T Auto
1707863133-19,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Ford,35 000 F CFA,"Grand-Yoff,",Par Transcar via Sénégal
1707863133-20,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Ford,40 000 F CFA,"Ouest Foire,",Par Optimus Debugger
1707863133-21,https://dakar-auto.com/senegal/location-de-voitures-19?&page=7,Ford,60 000 F CFA,"Hann Bel-Air,",Par PAPA .
